taxa,k_out,n_trees,size1,size2,prod,mut_size,time
ABCDEFGHIJ,1,1,8,8,64,9,0.001283595749995925
ABCDEFGHIJ,1,4,32,32,1024,42,0.0072022184999980254
ABCDEFGHIJ,1,9,66,66,4356,88,0.01896513975000147
ABCDEFGHIJ,1,16,127,126,16002,167,0.053948432249995903
ABCDEFGHIJ,1,25,197,194,38218,249,0.11314245824999603
ABCDEFGHIJ,1,36,275,280,77000,374,0.22214918874999512
ABCDEFGHIJ,1,49,370,373,138010,473,0.3685347332500015
ABCDEFGHIJ,1,64,484,489,236676,612,0.6327358647499892
ABCDEFGHIJ,2,1,7,7,49,9,0.001266713250004159
ABCDEFGHIJ,2,4,28,28,784,58,0.0090410042500082
ABCDEFGHIJ,2,9,63,63,3969,118,0.028370759249995103
ABCDEFGHIJ,2,16,110,107,11770,219,0.0717749614999974
ABCDEFGHIJ,2,25,171,169,28899,335,0.1725244900000007
ABCDEFGHIJ,2,36,236,233,54988,630,0.4086042597499926
ABCDEFGHIJ,2,49,319,317,101123,811,0.6633372439999903
ABCDEFGHIJ,2,64,406,407,165242,1256,1.4007025402500233
ABCDEFGHIJ,3,1,6,6,36,15,0.0018163957500121342
ABCDEFGHIJ,3,4,24,24,576,100,0.013968009749987687
ABCDEFGHIJ,3,9,54,51,2754,486,0.11536055350001106
ABCDEFGHIJ,3,16,96,89,8544,743,0.23768216224999605
ABCDEFGHIJ,3,25,140,132,18480,1557,0.740497176749983
ABCDEFGHIJ,3,36,191,200,38200,2424,1.603083321000014
ABCDEFGHIJ,3,49,257,258,66306,3824,3.2474058649999904
ABCDEFGHIJ,3,64,322,326,104972,5823,6.707797246500007
ABCDEFGHIJ,4,1,5,5,25,53,0.005003445499994541
ABCDEFGHIJ,4,4,17,20,340,1141,0.18454702275002433
ABCDEFGHIJ,4,9,41,43,1763,2637,0.5745071987499841
ABCDEFGHIJ,4,16,76,70,5320,5671,2.0819456019999905
ABCDEFGHIJ,4,25,109,102,11118,10781,6.001168990999986
ABCDEFGHIJ,4,36,130,141,18330,16397,10.789090541500002
ABCDEFGHIJ,4,49,167,179,29893,23128,20.438257626750016
ABCDEFGHIJ,4,64,222,209,46398,34714,37.720097825500034
ABCDEFGHIJ,5,1,4,4,16,745,0.06655909574999441
ABCDEFGHIJ,5,4,15,14,210,6684,0.8224218805000305
ABCDEFGHIJ,5,9,26,31,806,19488,3.7652556754999864
ABCDEFGHIJ,5,16,42,43,1806,38339,9.968206617500016
ABCDEFGHIJ,5,25,70,65,4550,78525,32.44110623750004
ABCDEFGHIJ,5,36,87,84,7308,117255,60.44719424049998
ABCDEFGHIJ,5,49,108,106,11448,165187,112.64906162125004
ABCDEFGHIJ,5,64,119,116,13804,190990,143.46180001100004
ABCDEFGHIJK,1,1,9,9,81,14,0.0016970445000197287
ABCDEFGHIJK,1,4,36,36,1296,44,0.007477652749912522
ABCDEFGHIJK,1,9,81,81,6561,96,0.02243877800003702
ABCDEFGHIJK,1,16,144,142,20448,175,0.05890025300004709
ABCDEFGHIJK,1,25,221,219,48399,270,0.12103509774999566
ABCDEFGHIJK,1,36,319,319,101761,394,0.23105025175004812
ABCDEFGHIJK,1,49,419,417,174723,526,0.4158092487500653
ABCDEFGHIJK,1,64,552,554,305808,661,0.644308279750021
ABCDEFGHIJK,2,1,8,8,64,10,0.0013490217500020663
ABCDEFGHIJK,2,4,32,32,1024,58,0.009177165999972203
ABCDEFGHIJK,2,9,70,70,4900,119,0.02500683549999394
ABCDEFGHIJK,2,16,126,126,15876,247,0.07721080324995455
ABCDEFGHIJK,2,25,194,192,37248,358,0.16022698375002165
ABCDEFGHIJK,2,36,281,274,76994,597,0.3766097704999538
ABCDEFGHIJK,2,49,378,367,138726,794,0.6349377579999782
ABCDEFGHIJK,2,64,491,471,231261,996,1.0161189407499478
ABCDEFGHIJK,3,1,7,7,49,22,0.0023343564998867805
ABCDEFGHIJK,3,4,28,27,756,106,0.014303963250085872
ABCDEFGHIJK,3,9,60,63,3780,221,0.04812279349994242
ABCDEFGHIJK,3,16,110,111,12210,546,0.17680707425006403
ABCDEFGHIJK,3,25,173,164,28372,865,0.39723811449994173
ABCDEFGHIJK,3,36,234,241,56394,1499,0.972128720749879
ABCDEFGHIJK,3,49,326,319,103994,2071,1.72097610600008
ABCDEFGHIJK,3,64,409,388,158692,2950,3.225671204749915
ABCDEFGHIJK,4,1,6,6,36,20,0.0020871782498943503
ABCDEFGHIJK,4,4,24,24,576,417,0.051956613250013106
ABCDEFGHIJK,4,9,54,52,2808,1148,0.23942458374995113
ABCDEFGHIJK,4,16,93,91,8463,3501,1.1378479625000182
ABCDEFGHIJK,4,25,144,142,20448,5497,2.736419500000011
ABCDEFGHIJK,4,36,189,188,35532,8443,5.621648446749987
ABCDEFGHIJK,4,49,255,258,65790,16982,17.150786753249804
ABCDEFGHIJK,4,64,312,306,95472,19052,23.465899292500126
ABCDEFGHIJK,5,1,5,5,25,190,0.017601827499902356
ABCDEFGHIJK,5,4,20,20,400,2840,0.37692361075005465
ABCDEFGHIJK,5,9,40,40,1600,10244,2.182988347499986
ABCDEFGHIJK,5,16,72,73,5256,25561,9.068155013749902
ABCDEFGHIJK,5,25,108,99,10692,47811,27.598199091750075
ABCDEFGHIJK,5,36,150,138,20700,81932,62.25217282774997
ABCDEFGHIJK,5,49,180,182,32760,119134,127.4592498595
ABCDEFGHIJK,5,64,212,209,44308,151334,212.54257678399995
ABCDEFGHIJKL,1,1,10,10,100,11,0.002027266999903077
ABCDEFGHIJKL,1,4,40,40,1600,48,0.011120536750240717
ABCDEFGHIJKL,1,9,90,90,8100,99,0.025646897000115132
ABCDEFGHIJKL,1,16,159,159,25281,193,0.06827791875002731
ABCDEFGHIJKL,1,25,246,247,60762,286,0.159795090249645
ABCDEFGHIJKL,1,36,355,355,126025,414,0.28327763900006175
ABCDEFGHIJKL,1,49,471,479,225609,565,0.5125364750001609
ABCDEFGHIJKL,1,64,615,616,378840,717,0.81735649725033
ABCDEFGHIJKL,2,1,9,9,81,15,0.0018503310002415674
ABCDEFGHIJKL,2,4,36,36,1296,44,0.008097891500256083
ABCDEFGHIJKL,2,9,78,80,6240,134,0.030792513249707554
ABCDEFGHIJKL,2,16,142,143,20306,223,0.07807477150026898
ABCDEFGHIJKL,2,25,223,217,48391,377,0.1978368430000046
ABCDEFGHIJKL,2,36,318,319,101442,513,0.3659976399999323
ABCDEFGHIJKL,2,49,426,421,179346,776,0.7400494192497717
ABCDEFGHIJKL,2,64,558,554,309132,956,1.1754936467500556
ABCDEFGHIJKL,3,1,8,8,64,21,0.002460929500102793
ABCDEFGHIJKL,3,4,30,32,960,75,0.011932403249829804
ABCDEFGHIJKL,3,9,72,72,5184,333,0.08612231400002202
ABCDEFGHIJKL,3,16,128,127,16256,458,0.15896159850035474
ABCDEFGHIJKL,3,25,197,200,39400,808,0.429139621250215
ABCDEFGHIJKL,3,36,266,276,73416,1129,0.7898122699998567
ABCDEFGHIJKL,3,49,380,380,144400,1592,1.5090010515000358
ABCDEFGHIJKL,3,64,476,469,223244,2209,2.8229193317501995
ABCDEFGHIJKL,4,1,7,7,49,97,0.009801085249819153
ABCDEFGHIJKL,4,4,28,28,784,138,0.019585469749927142
ABCDEFGHIJKL,4,9,62,63,3906,729,0.17890434125001775
ABCDEFGHIJKL,4,16,110,111,12210,1254,0.4664805540000998
ABCDEFGHIJKL,4,25,174,170,29580,3484,2.1415053784999145
ABCDEFGHIJKL,4,36,233,240,55920,4126,3.394485757500206
ABCDEFGHIJKL,4,49,325,310,100750,7737,9.149091916249745
ABCDEFGHIJKL,4,64,394,380,149720,10641,17.122341527999197
ABCDEFGHIJKL,5,1,6,6,36,171,0.01739550325055461
ABCDEFGHIJKL,5,4,24,24,576,2632,0.43220322974957526
ABCDEFGHIJKL,5,9,54,52,2808,6161,1.6074749772496943
ABCDEFGHIJKL,5,16,89,93,8277,10281,4.405376201750187
ABCDEFGHIJKL,5,25,135,132,17820,19960,13.052192413500052
ABCDEFGHIJKL,5,36,201,190,38190,39489,38.36835555725065
ABCDEFGHIJKL,5,49,235,256,60160,59965,75.00308483524987
ABCDEFGHIJKL,5,64,300,306,91800,77968,126.4042551802504
ABCDEFGHIJKM,1,1,10,10,100,11,0.00172896000003675
ABCDEFGHIJKM,1,4,40,40,1600,44,0.007991725500687608
ABCDEFGHIJKM,1,9,90,90,8100,105,0.027029405250686978
ABCDEFGHIJKM,1,16,160,160,25600,180,0.0635385422501713
ABCDEFGHIJKM,1,25,245,243,59535,306,0.14815529649968084
ABCDEFGHIJKM,1,36,359,358,128522,408,0.26066545424964715
ABCDEFGHIJKM,1,49,480,480,230400,551,0.5012625454992303
ABCDEFGHIJKM,1,64,623,624,388752,725,0.8353098024999781
ABCDEFGHIJKM,2,1,9,9,81,11,0.004022234499643673
ABCDEFGHIJKM,2,4,36,36,1296,58,0.009715033249449334
ABCDEFGHIJKM,2,9,80,81,6480,115,0.028017694499794743
ABCDEFGHIJKM,2,16,140,143,20020,199,0.06952840624944656
ABCDEFGHIJKM,2,25,222,220,48840,379,0.184184691000155
ABCDEFGHIJKM,2,36,320,315,100800,515,0.3392968554999243
ABCDEFGHIJKM,2,49,432,431,186192,734,0.6584476857506161
ABCDEFGHIJKM,2,64,544,548,298112,928,1.0672531350001009
ABCDEFGHIJKM,3,1,8,8,64,15,0.0018436532500345493
ABCDEFGHIJKM,3,4,32,31,992,105,0.015392503750263131
ABCDEFGHIJKM,3,9,70,70,4900,232,0.05717011900014768
ABCDEFGHIJKM,3,16,127,127,16129,403,0.14892464375043346
ABCDEFGHIJKM,3,25,194,194,37636,660,0.31653018974975566
ABCDEFGHIJKM,3,36,274,282,77268,999,0.7059514802504054
ABCDEFGHIJKM,3,49,373,368,137264,1715,1.7926056162496025
ABCDEFGHIJKM,3,64,480,476,228480,2081,2.65202325700011
ABCDEFGHIJKM,4,1,7,7,49,49,0.00469367474943283
ABCDEFGHIJKM,4,4,28,28,784,318,0.04897298374999082
ABCDEFGHIJKM,4,9,62,62,3844,504,0.11241249449994939
ABCDEFGHIJKM,4,16,110,109,11990,1846,0.7080312332500398
ABCDEFGHIJKM,4,25,167,165,27555,2811,1.4485880627498773
ABCDEFGHIJKM,4,36,240,225,54000,4649,3.6015039612502733
ABCDEFGHIJKM,4,49,317,312,98904,8005,8.553122574750887
ABCDEFGHIJKM,4,64,403,396,159588,11879,16.29934103074993
ABCDEFGHIJKM,5,1,6,6,36,73,0.006406124749446462
ABCDEFGHIJKM,5,4,24,24,576,1562,0.23157006575002015
ABCDEFGHIJKM,5,9,52,54,2808,4606,1.1088833782496295
ABCDEFGHIJKM,5,16,94,96,9024,12240,4.994053367749984
ABCDEFGHIJKM,5,25,141,135,19035,21865,13.441096957999434
ABCDEFGHIJKM,5,36,197,190,37430,41740,37.18708703025004
ABCDEFGHIJKM,5,49,245,248,60760,58141,64.0978386427496
ABCDEFGHIJKM,5,64,323,297,95931,86739,124.08551561974946
